index;academic year;school year;admission rate;school
599;2022/2023;5;100.0;421
600;2023/2024;1;100.0;421
601;2023/2024;2;100.0;421
602;2023/2024;3;100.0;421
603;2023/2024;4;100.0;421
604;2023/2024;5;100.0;421
605;2024/2025;1;100.0;421
606;2024/2025;2;100.0;421
607;2024/2025;3;100.0;421
608;2024/2025;4;100.0;421
609;2024/2025;5;100.0;421
610;2022/2023;1;100.0;422
611;2022/2023;2;100.0;422
612;2022/2023;3;100.0;422
613;2022/2023;4;100.0;422
614;2022/2023;5;100.0;422
615;2023/2024;1;100.0;422
616;2023/2024;2;100.0;422
617;2023/2024;3;100.0;422
618;2023/2024;4;100.0;422
619;2023/2024;5;100.0;422
620;2024/2025;1;100.0;422
621;2024/2025;2;100.0;422
622;2024/2025;3;100.0;422
623;2024/2025;4;100.0;422
624;2024/2025;5;100.0;422
625;2022/2023;1;100.0;419
626;2022/2023;2;100.0;419
627;2022/2023;3;100.0;419
628;2022/2023;4;100.0;419
629;2022/2023;5;100.0;419
630;2023/2024;1;100.0;419
631;2023/2024;2;100.0;419
632;2023/2024;3;100.0;419
633;2023/2024;4;100.0;419
634;2023/2024;5;100.0;419
635;2024/2025;1;100.0;419
636;2024/2025;2;100.0;419
637;2024/2025;3;100.0;419
638;2024/2025;4;100.0;419
639;2024/2025;5;100.0;419
640;2022/2023;1;100.0;423
641;2022/2023;2;100.0;423
642;2022/2023;3;100.0;423
643;2022/2023;4;100.0;423
644;2022/2023;5;100.0;423
645;2023/2024;1;100.0;423
646;2023/2024;2;100.0;423
647;2023/2024;3;100.0;423
648;2023/2024;4;100.0;423
649;2023/2024;5;100.0;423
650;2024/2025;1;92.85714285714286;423
651;2024/2025;2;100.0;423
652;2024/2025;3;100.0;423
653;2024/2025;4;100.0;423
654;2024/2025;5;100.0;423
655;2022/2023;1;100.0;424
656;2022/2023;2;100.0;424
657;2022/2023;3;100.0;424
658;2022/2023;4;100.0;424
659;2022/2023;5;100.0;424
660;2023/2024;1;100.0;424
661;2023/2024;2;100.0;424
662;2023/2024;3;100.0;424
663;2023/2024;4;100.0;424
