main institute;school;miur code;entity;address;miur code list;school count;check
circolo di coordinamento n. 7;"scuola dell'infanzia di cles  ""casa del sole""";;school;via dallafior, 36 38023;"";11;11
circolo di coordinamento n. 7;scuola dell'infanzia di cunevo;;school;via delle scuole - cunevo, 6 38010;"";11;11
circolo di coordinamento n. 7;scuola dell'infanzia di fai paganella;;school;via villa, 43 38010;"";11;11
circolo di coordinamento n. 7;"scuola dell'infanzia di grumo ""il giardino del sole""";;school;via marconi, 65/a 38098;"";11;11
circolo di coordinamento n. 7;"scuola dell'infanzia di rallo di tassullo  ""nuovo germoglio""";;school;via fratelli pinamonti - rallo - tassullo,   38019;"";11;11
circolo di coordinamento n. 7;"scuola dell'infanzia di revò ""i girasoli""";;school;via canestrini, 9/a 38028;"";11;11
circolo di coordinamento n. 7;scuola dell'infanzia di roverè della luna;;school;via villotta, 10 38030;"";11;11
circolo di coordinamento n. 7;"scuola dell'infanzia di s.michele all' adige  ""il germoglio""";;school;via della prepositura, 2 38098;"";11;11
circolo di coordinamento n. 7;"scuola dell'infanzia di sporminore ""fratelli remondini""";;school;piazza anaunia, 2 38010;"";11;11
circolo di coordinamento n. 7;"scuola dell'infanzia di vervò  ""il bosco degli gnomi""";;school;via castel vervassium - vervo, 7 38012;"";11;11
circolo di coordinamento n. 8;;;institute;via circonvallazione, 65 38079;"";8;8
circolo di coordinamento n. 8;scuola dell'infanzia di bezzecca - a. cis;;school;via generale dalla chiesa - bezzecca, 2 38067;"";8;8
circolo di coordinamento n. 8;"scuola dell'infanzia di darzo ""l'albero delle castagne""";;school;via s giovanni nepomuceno, 11 38089;"";8;8
circolo di coordinamento n. 8;scuola dell'infanzia di dro;;school;via s antonio, 10 38074;"";8;8
circolo di coordinamento n. 8;scuola dell'infanzia di preore;;school;via serafini - preore, 92 38095;"";8;8
circolo di coordinamento n. 8;"scuola dell'infanzia di riva  ""rione 2 giugno""";;school;via cristoph hartung von hartungen, 4 38066;"";8;8
