vivoscuola school link;academic year;school year;admission rate
https://www.vivoscuola.it/content/view/full/29899;2023/2024;2;91.77215189873418
https://www.vivoscuola.it/content/view/full/29899;2023/2024;3;96.27329192546584
https://www.vivoscuola.it/content/view/full/29899;2023/2024;4;100.0
https://www.vivoscuola.it/content/view/full/29899;2023/2024;5;99.26470588235294
https://www.vivoscuola.it/content/view/full/29899;2024/2025;1;86.07594936708861
https://www.vivoscuola.it/content/view/full/29899;2024/2025;2;95.07042253521126
https://www.vivoscuola.it/content/view/full/29899;2024/2025;3;98.58156028368793
https://www.vivoscuola.it/content/view/full/29899;2024/2025;4;99.35483870967742
https://www.vivoscuola.it/content/view/full/29899;2024/2025;5;99.29577464788733
https://www.vivoscuola.it/content/view/full/29762;2022/2023;1;0.0
https://www.vivoscuola.it/content/view/full/29762;2022/2023;2;27.27272727272727
https://www.vivoscuola.it/content/view/full/29762;2022/2023;3;0.0
https://www.vivoscuola.it/content/view/full/29762;2022/2023;4;30.0
https://www.vivoscuola.it/content/view/full/29762;2022/2023;5;61.53846153846154
https://www.vivoscuola.it/content/view/full/29762;2023/2024;1;0.0
https://www.vivoscuola.it/content/view/full/29762;2023/2024;2;10.0
https://www.vivoscuola.it/content/view/full/29762;2023/2024;3;0.0
https://www.vivoscuola.it/content/view/full/29762;2023/2024;4;22.727272727272727
https://www.vivoscuola.it/content/view/full/29762;2023/2024;5;63.63636363636363
https://www.vivoscuola.it/content/view/full/29762;2024/2025;1;0.0
https://www.vivoscuola.it/content/view/full/29762;2024/2025;2;0.0
https://www.vivoscuola.it/content/view/full/29762;2024/2025;3;0.0
https://www.vivoscuola.it/content/view/full/29762;2024/2025;4;23.076923076923077
https://www.vivoscuola.it/content/view/full/29762;2024/2025;5;81.25
https://www.vivoscuola.it/content/view/full/29764;2022/2023;1;0.0
https://www.vivoscuola.it/content/view/full/29764;2022/2023;2;0.0
https://www.vivoscuola.it/content/view/full/29764;2022/2023;3;4.761904761904762
https://www.vivoscuola.it/content/view/full/29764;2022/2023;4;46.666666666666664
https://www.vivoscuola.it/content/view/full/29764;2022/2023;5;81.81818181818183
https://www.vivoscuola.it/content/view/full/29764;2023/2024;1;0.0
