vivoscuola institute link;name;school link
https://www.vivoscuola.it/content/view/full/29815;"liceo artistico ""depero""- rovereto";https://www.vivoscuola.it/content/view/full/29816
https://www.vivoscuola.it/content/view/full/29815;"liceo artistico ""vittoria"" - trento";https://www.vivoscuola.it/content/view/full/29817
https://www.vivoscuola.it/content/view/full/29815;liceo musicale coreutico;https://www.vivoscuola.it/content/view/full/29819
https://www.vivoscuola.it/content/view/full/29372;"scuola dell'infanzia di cavedago  ""l'albero azzurro""";https://www.vivoscuola.it/content/view/full/29373
https://www.vivoscuola.it/content/view/full/29372;"scuola dell'infanzia di cles  ""casa del sole""";https://www.vivoscuola.it/content/view/full/29374
https://www.vivoscuola.it/content/view/full/29372;scuola dell'infanzia di cunevo;https://www.vivoscuola.it/content/view/full/29375
https://www.vivoscuola.it/content/view/full/29372;scuola dell'infanzia di fai paganella;https://www.vivoscuola.it/content/view/full/29376
https://www.vivoscuola.it/content/view/full/29372;"scuola dell'infanzia di grumo ""il giardino del sole""";https://www.vivoscuola.it/content/view/full/29377
https://www.vivoscuola.it/content/view/full/29372;"scuola dell'infanzia di rallo di tassullo  ""nuovo germoglio""";https://www.vivoscuola.it/content/view/full/29378
https://www.vivoscuola.it/content/view/full/29372;"scuola dell'infanzia di revò ""i girasoli""";https://www.vivoscuola.it/content/view/full/29379
https://www.vivoscuola.it/content/view/full/29372;scuola dell'infanzia di roverè della luna;https://www.vivoscuola.it/content/view/full/29380
https://www.vivoscuola.it/content/view/full/29372;"scuola dell'infanzia di s.michele all' adige  ""il germoglio""";https://www.vivoscuola.it/content/view/full/29381
https://www.vivoscuola.it/content/view/full/29372;"scuola dell'infanzia di sporminore ""fratelli remondini""";https://www.vivoscuola.it/content/view/full/29382
https://www.vivoscuola.it/content/view/full/29372;"scuola dell'infanzia di vervò  ""il bosco degli gnomi""";https://www.vivoscuola.it/content/view/full/29383
https://www.vivoscuola.it/content/view/full/29679;"scuola primaria ""e. bernardi"" cognola";https://www.vivoscuola.it/content/view/full/29680
https://www.vivoscuola.it/content/view/full/29679;"scuola primaria ""r. belenzani"" s.vito";https://www.vivoscuola.it/content/view/full/29681
https://www.vivoscuola.it/content/view/full/29679;"scuola primaria ""r. zandonai"" martignano";https://www.vivoscuola.it/content/view/full/29682
https://www.vivoscuola.it/content/view/full/29679;scuola primaria casa serena;https://www.vivoscuola.it/content/view/full/29683
https://www.vivoscuola.it/content/view/full/29679;"scuola secondaria di primo grado ""argentario"" trento";https://www.vivoscuola.it/content/view/full/29684
https://www.vivoscuola.it/content/view/full/29898;liceo linguistico;https://www.vivoscuola.it/content/view/full/29899
https://www.vivoscuola.it/content/view/full/29953;scuola dell'infanzia di campitello di fassa;https://www.vivoscuola.it/content/view/full/29954
https://www.vivoscuola.it/content/view/full/30213;scuola dell'infanzia di vigo di fassa;https://www.vivoscuola.it/content/view/full/30214
https://www.vivoscuola.it/content/view/full/30129;scuola dell'infanzia di san martino di c.;https://www.vivoscuola.it/content/view/full/30130
